id,title,link,author,excInsttNm,lcategory,pubDate,trgetNm,hashTags,refrncNm,rceptEngnHmpgUrl,printFlpthNm,printFileNm,description,detail_text,apply_start,apply_end,d_days,status
PBLN_000000000111607,2025년 하반기 기술창업 자금지원(융자)사업 공고,/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000111607,농촌진흥청,한국농업기술진흥원,금융,2025-08-18,중소기업,,"한국농업기술진흥원 기술거래평가팀 063-919-1324, 1323 / seon16@koat.or.kr, sychoi95@koat.or.kr",,https://www.bizinfo.go.kr/cmm/fms/getImageFile.do?atchFileId=FILE_000000000720367&fileSn=0,2025년 하반기 기술창업 자금지원(융자)사업 공고문.hwp,"<p>「농림식품과학기술육성법」제6조의2 및 동법 시행령 제12조의3에 따라「2025년 하반기 기술창업 자금지원(융자)사업」을 다음과 같이 공고합니다.</p><p><br></p><p style=""line-height: 1.8;"">☞ 농림축산식품업종분류에 해당하는 기술 및 노하우를 보유하고 이를 실용ㆍ사업화하고자 하는 농업법인 또는 중소기업</p><p style=""line-height: 1.8;"">※ 농림축산식품업종분류 : [붙임1]참고, 수산분야제외, 임업분야는 농기계구입ㆍ버섯류 재배만 가능</p><p><br></p><p style=""line-height: 1.8;"">☞ 운전자금, 시설자금, 개보수자금 기업당 최대 50억 원 이내 지원</p><p style=""line-height: 1.8;"">※ 단, 운전자금은 최대 20억원 이내 지원</p>","기업마당>정책정보>지원사업 공고 --> 본문 바로가기 주메뉴 바로가기 메뉴열기 로그인 정책정보 정책정보 지원사업 공고 품목별 법정의무 인증제도 행사정보 정책뉴스 입법·행정예고/고시 월간 중기누리 활용정보 활용정보 기업업무용 서식 입주기업 모집공고 공동활용 화상회의실 정책정보 개방 속보성 대시보드 고객알림 고객알림 공지사항 고객의 소리 자주하는질문 이용안내 이용안내 개인정보처리방침 이메일주소 무단 수집 거부안내 저작권 정책 웹접근성 정책 이용약관 전체메뉴보기 로그인 회원가입 100% 폰트 작게 폰트 크게 HOME 정책정보 지원사업 공고 지원사업 공고 금융 2025년 하반기 기술창업 자금지원(융자)사업 공고 2025.07.02 스크랩 3 소관부처·지자체 농촌진흥청 사업수행기관 한국농업기술진흥원 신청기간 예산 소진시까지 사업개요 「농림식품과학기술육성법」제6조의2 및 동법 시행령 제12조의3에 따라「2025년 하반기 기술창업 자금지원(융자)사업」을 다음과 같이 공고합니다. ☞ 농림축산식품업종분류에 해당하는 기술 및 노하우를 보유하고 이를 실용ㆍ사업화하고자 하는 농업법인 또는 중소기업 ※ 농림축산식품업종분류 : [붙임1]참고, 수산분야제외, 임업분야는 농기계구입ㆍ버섯류 재배만 가능 ☞ 운전자금, 시설자금, 개보수자금 기업당 최대 50억 원 이내 지원 ※ 단, 운전자금은 최대 20억원 이내 지원 사업신청 방법 온라인 접수(한국농업기술진흥원 기술평가도움시스템)
① 전국 농협은행 또는 농ㆍ축협(조합) 방문 후 대출요건 등 사전 상담
② 기술평가 신청 및 평가 진행 : (접수처) https://value.koat.or.kr
③ 평가서를 발부받아 농협은행 또는 농ㆍ축협(조합)을 통한 대출 진행 문의처 한국농업기술진흥원 기술거래평가팀 063-919-1324, 1323 / seon16@koat.or.kr, sychoi95@koat.or.kr ※ 본 지원사업에 대한 문의˙신청 등의 모든 절차는 수행기관에서 전담하고 있음을 안내드립니다. 2025년 하반기 기술창업 자금지원(융자)사업 공고 # 해시태그 목록 #시제품생산비 #원자재구입비 #제품개발비 #저리융자 #상반기 #2025 #개보수자금 #농촌진흥청 #운전자금 #기술창업 #한국농업기술진흥원 #인건비 #시설자금 #자금 #융자 #제주 #경남 #경북 #전남 #전북 #충남 #충북 #강원 #경기 #세종 #울산 #대전 #광주 #인천 #대구 #부산 #서울 #창업 #기술 #금융 첨부파일 2025년 하반기 기술창업 자금지원(융자)사업 공고(양식).zip 바로보기 다운로드 본문출력파일 2025년 하반기 기술창업 자금지원(융자)사업 공고문.hwp 바로보기 다운로드 스크랩 링크복사 QR코드 출처 바로가기 정보에 만족하셨나요? 1점 2점 3점 4점 5점 등록 비방 · 욕설, 음란한 표현, 상업적인 광고, 동일한 내용 반복 게시, 특정인의 개인정보 유출 등의 내용은 게시자에게 통보하지 않고 삭제될 수 있음을 알려드립니다. 기업마당 내 정책정보에 대한 문의는 소관부처에 문의부탁드립니다. 목록 공지사항 개인정보처리방침 이메일무단수집거부 자료이용 및 저작권보호 자주하는 질문 웹접근성정책 07074 서울특별시 동작구 신대방1가길 77 중소벤처기업연구원 시스템문의 Tel. 02-867-9765 Copyright © All rights Reserved. QR코드 기업마당 앱 다운로드 앱스토어 사용자 및 플레이스토어 사용자 별 QR 코드 안내 테이블 ▲ 앱스토어 사용자 ▲ 플레이스토어 사용자 메인 사이트맵 유관기관 홈페이지 한국전파진흥협회 정보통신산업진흥원 미래창조과학부 국립전파연구원 한국방송통신전파진흥원",,,,
PBLN_000000000111442,[경기] 수원시 2025년 중소기업 국외수출보험 지원사업 참가업체 모집 공고,/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000111442,경기도,한국무역보험공사,금융,2025-08-18,중소기업,,한국무역보험공사 경기남부지사 031-259-7641 / 수원시 기업지원과 031-228-2656 (7.1.부로 031-5191-2656 변경),,https://www.bizinfo.go.kr/cmm/fms/getImageFile.do?atchFileId=FILE_000000000719816&fileSn=0,★공고안내문및신청서(수출보험).hwp,<p>수원시와 한국무역보험공사에서는 FTA 59개국 단일 경제권 시대를 맞아 중소 제조기업이 안심하고 글로벌 권역을 개척하고 수출할 수 있도록 관내 중소 제조기업 수출보험을 아래와 같이 지원하고 있습니다. 해당 업체는 적극 신청하여 주시기 바랍니다.</p><p><br></p><p>☞&nbsp;수원시 소재 창업ㆍ중소 제조기업&nbsp;</p><p><br></p><p>☞&nbsp;수출신용보증(선적 전ㆍ후) 및 단기수출보험료지원 (업체당 최대 1백만원)</p>,,,,,
PBLN_000000000111419,[강원] 화천군 2025년 중소기업 및 소상공인 육성자금 융자추천 및 이차보전계획(한시특례지원) 변경 공고,/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000111419,강원특별자치도,기초자치단체,금융,2025-08-18,중소기업,,화천군청 지역경제과 지역경제담당 (033-440-2109),,https://www.bizinfo.go.kr/cmm/fms/getImageFile.do?atchFileId=FILE_000000000719800&fileSn=0,2025년 중소기업 및 소상공인 육성자금 융자추천 및 이차보전계획 변경공고.pdf,"<p>코로나 이후 채무부담 증가, 경기의 장기침체 등으로 경제적 어려움에 처해 있는 소상공인을 위해 경영환경을 개선할 수 있도록 「화천군 육성자금 융자추천 및 이차보전지원사업」을 2025년 한시적으로 확대하여 지원하고자 합니다.&nbsp;</p><div><br></div><div style=""line-height: 1.8;"">☞&nbsp;&nbsp;「중소기업기본법시행령」 제2조 및 제3조의 규정에 의한 중소기업</div><div style=""line-height: 1.8;"">- 화천군에 소재하며 「부가가치세법」 제5조제1항의 규정에 의하여 사업자등록을 필한 다음 각 호의 어느 하나에 해당하는 업체로, 사업자가 화천군에 주민등록이 되어 있는 자.</div><div><br></div><div>☞&nbsp;경영안정에 소요되는 융자금 추천 및 이차보전(융자금 금리 중 3% 보조) 지원</div>",,,,,
PBLN_000000000111373,[인천] 2025년 중소기업 금융비용 절감을 위한 특별 경영안정자금 지원 공고,/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000111373,인천광역시,인천테크노파크,금융,2025-08-14,중소기업,,인천테크노파크 경영지원센터 032-260-0661~4,https://bizok.incheon.go.kr/open_content/support.do?act=detail&policyno=6551,https://www.bizinfo.go.kr/cmm/fms/getImageFile.do?atchFileId=FILE_000000000719703&fileSn=0,(공고문)2025년_NH농협은행_인천형_특별경영안정자금.pdf,"<p>인천광역시 중소기업경영안정자금 지원 및 운용조례 제6조의 규정에 의거 인천시와 NH농협은행이 함께하는 「2025년 인천형 특별 경영안정자금」를 다음과 같이 공고합니다.&nbsp;</p><p><br></p><p>☞&nbsp;인천소재 제조업 또는 제조업 관련업 중소기업</p><p><br></p><p style=""line-height: 1.8;"">☞&nbsp;은행 대출 운전자금의 이자차액보전 지원</p><p style=""line-height: 1.8;"">-&nbsp;지원 한도 : 일반기업 10억원(우대10~100억원, 업체별 세부심사기준에 따라 다름)</p><p style=""line-height: 1.8;"">※ 자세한 지원내용 공고문 참조</p>",,,,,
PBLN_000000000111295,[강원] 2025년 2차 소상공인 경영안정자금 지원사업 공고,/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000111295,강원특별자치도,소상공인시장진흥공단,금융,2025-08-14,소상공인,,은행 영업점 문의처 공고문 참조,,https://www.bizinfo.go.kr/cmm/fms/getImageFile.do?atchFileId=FILE_000000000719463&fileSn=0,강원특별자치도 공고 제2025-1000호.pdf,"<p>강원특별자치도 소상공인의 경영안정화를 도모하고자 「강원특별자치도 소상공인 지원 조례」 제6조의 규정에 의하여 2025년도 강원특별자치도 소상공인 경영안정자금 지원사업을 다음과 같이 공고합니다.</p><p><br></p><p style=""line-height: 1.8;"">☞ 도 소재 사업장을 둔 소상공인</p><p style=""line-height: 1.8;"">※ 자세한 지원대상 공고문 참조</p><p><br></p><p style=""line-height: 1.8;"">☞ 대출금액 최대 5천만 원 지원</p><p style=""line-height: 1.8;"">- (이자 지원) 2년간 2%&nbsp;</p><p style=""line-height: 1.8;"">- (보증료 지원) 0.8%2개년분</p>",,,,,
PBLN_000000000111212,[경북] 포항시 소상공인 희망동행 특례보증 지원사업 변경 공고,/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000111212,경상북도,경북신용보증재단,금융,2025-08-14,소상공인,,포항시 경제노동정책과 (054-270-2415),,https://www.bizinfo.go.kr/cmm/fms/getImageFile.do?atchFileId=FILE_000000000719111&fileSn=0,2025 포항시 소상공인 희망동행 특례보증 지원사업 변경공고 5.hwp,"<p>「포항시 소상공인 지원에 관한 조례」시행규칙 제3조 및 제5조에 따라 경기침체로 인해 어려움을 겪고 있는 소상공인에게 저리의 경영안정 자금 대출 및 이자를 지원하기 위한 「포항시 소상공인 희망동행 특례보증 지원사업」을 아래와 같이 변경공고합니다</p><p><br></p><p>☞&nbsp;「소상공인 보호 및 지원에 관한 법률」 제2조에 따른 소상공인으로 포항시에 사업장을 두고 사업자등록이 되어 있는 소상공인</p><p><br></p><p>☞ 대출한도 : 일반 5천만원, 우대 10천만원 이내 /&nbsp;이차보전 : 2년간 대출이자 3% 내 지원&nbsp;</p>",,,,,
PBLN_000000000111187,2025년 하반기 관광진흥개발기금 융자지원지침 공고,/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000111187,문화체육관광부,한국관광협회중앙회,금융,2025-08-14,중소기업,,한국관광협회중앙회 융자상시지원센터 02-757-7485 / 문화체육관광부 관광정책과 044-203-2826 및 업종별 담당기관 공고문 참조,http://www.loantourism.kr/,https://www.bizinfo.go.kr/cmm/fms/getImageFile.do?atchFileId=FILE_000000000719048&fileSn=0,25년 하반기 관광기금 융자지원 지침.pdf,"<p>관광진흥개발기금법 제5조 및 관광진흥개발기금 관리 및 운용요령 제2조의 규정에 따라 2025년 하반기 관광진흥개발기금 융자지원지침을 공고합니다.</p><p><br></p><p style=""line-height: 1.8;"">☞ 관광진흥법 제3조에 의한 관광사업자 또는 관광사업 예정자, 또한 관광지, 관광단지, 관광특구내 일부시설 등</p><p style=""line-height: 1.8;"">※ 제주특별자치도 소재 사업체는 융자대상에서 제외함<br></p><p><br></p><p style=""line-height: 1.8;"">☞ 하반기 융자규모 1,715억원 이내 지원</p><p style=""line-height: 1.8;"">- 운영자금 :&nbsp;최근 1년간 영업비용의 50%, 30억원 이내</p><p style=""line-height: 1.8;"">- 시설자금(신축, 증축, 개보수) : 하반기 소요자금 100%, 150억원 이내(업종별, 기업별 등 조건별 상이)</p>",,,,,
PBLN_000000000111173,2025년 하반기 관광진흥개발기금 이차보전 지원 공고,/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000111173,문화체육관광부,한국관광협회중앙회,금융,2025-08-14,중소기업,,한국관광협회중앙회 융자상시지원센터 02-757-7485,,https://www.bizinfo.go.kr/cmm/fms/getImageFile.do?atchFileId=FILE_000000000718973&fileSn=0,25년 하반기 관광기금 이차보전 지원 지침.pdf,"<p>관광진흥개발기금법 제5조 및 관광진흥개발기금 관리 및 운용요령 제2조의 규정에 따라 2025년 하반기 관광진흥개발기금 이차보전 지원 지침을 공고합니다.</p><p><br></p><p style=""line-height: 1.8;"">☞ 관광진흥법에 따른 관광사업체 등(동 기간 내 관광기금 융자지원과 중복 신청 불가)</p><p style=""line-height: 1.8;"">※ 구체적인 이차보전 지원대상 해당 여부는 ‘업종별 신청자격(7~62p)’ 참조</p><p><br></p><p style=""line-height: 1.8;"">☞ 자금 선정에 의해 대출된 금액에 대한 이자차액 보전 지원</p><p style=""line-height: 1.8;"">- 관광사업자가 은행자금으로 대출받고, 문화체육관광부에서 대출이자 중 일부를 지원</p><p style=""line-height: 1.8;"">- 은행 상담 후 자금 신청을 하여야 하며, 은행 여신규정에 의한 담보(부동산, 보증서 등) 제공이 있어야 대출이 가능함</p><p style=""line-height: 1.8;"">※ 자세한 지원내용 공고문 참조</p>",,,,,
PBLN_000000000111068,[강원] 강릉시 생계형 1인 자영업자 사회보험료 지원 공고,/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000111068,강원특별자치도,기초자치단체,금융,2025-08-14,창업벤처,,강원특별자치도 강릉시 경제진흥과 일자리창출팀 033-640-4952,,https://www.bizinfo.go.kr/cmm/fms/getImageFile.do?atchFileId=FILE_000000000718709&fileSn=0,2025 생계형 1인 자영업자 사회보험료 지원사업 공고.hwp,"<p>강릉시 내 1인 자영업자의 국민연금 및 고용ㆍ산재보험 지원을 통하여 안정적 경영활동과 폐업 후 재취업 활동 보장 등 사회안전망 강화를 위한「생계형 1인 자영업자 사회보험료 지원사업」을 아래와 같이 공고합니다.&nbsp;</p><p><br></p><p style=""line-height: 1.8;"">☞ 강릉시 내 소재하며 본인 명의의 사업자등록증을 보유하고 사업을 운영 중인 1인 자영업자(폐업한 사업장은 신청 불가)</p><p style=""line-height: 1.8;"">※&nbsp;강릉시 내 소재는 사업자등록증 상의 사업장 소재지 기준</p><p style=""line-height: 1.8;"">※ 자세한 지원대상 공고문 참조</p><p><br></p><p style=""line-height: 1.8;"">☞ 국민연금, 고용보험, 산재보험 실제납부액의 최대 50% 지원</p><p style=""line-height: 1.8;"">※ 자세한 지원내용 공고문 참조</p>",,,,,
PBLN_000000000111067,[강원] 강릉시 사회보험료 지원사업 공고,/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000111067,강원특별자치도,기초자치단체,금융,2025-08-14,중소기업,,강릉시청 경제진흥과 일자리창출팀 033-640-4952 / [두루누리 지원사업 문의] 국민연금 1355 및 근로복지공단 1588-0075,,https://www.bizinfo.go.kr/cmm/fms/getImageFile.do?atchFileId=FILE_000000000718706&fileSn=0,2025 강원특별자치도 사회보험료 지원사업 공고.hwp,"<p>최저임금 인상에 따른 도내 소재 영세 사업주의 경영 부담을 완화하고 노동자의 고용불안 해소를 위하여 추진하는「강원특별자치도 사회보험료 지원 사업」을 아래와 같이 공고합니다.</p><p><br></p><p style=""line-height: 1.8;"">☞&nbsp;도내 소재 근로자 수가 10인 미만인 사업장(사업주)</p><p style=""line-height: 1.8;"">-&nbsp;정부 두루누리 사회보험 지원을 받고 있는 사업장</p><p style=""line-height: 1.8;"">-&nbsp;개인사업장은 사업자등록증, 법인은 법인등기부등본으로 확인</p><p><br></p><p style=""line-height: 1.8;"">☞&nbsp;두루누리 지원(신규가입자) :&nbsp;4대 사회보험료 사업주 부담분(정부지원금 제외)</p><p style=""line-height: 1.8;"">※ 신규가입자 : 지원신청일 직전 1년 간 고용보험과 국민연금 자격취득 이력이 없는 근로자</p>",,,,,
